sp,n,factor,Wright_WD,growthsurv,pca2,pft3,pft5,altwd,RGR95,sm,lma,ldmc,N_shade,N_sun,P_shade,P_sun,wind
soroaf,206,10.22279176,0.645791121,1.344728873,-0.374953157,3,1,0.608,0.07129567,0.131028,47.37019555,0.365199028,2.462976933,NA,1.083062068,NA,0
talipr,207,11.92284056,0.725307436,3.414085898,-0.39868563,3,1,0.85,0.059225451,0.75322,69.29459804,0.484386153,1.861827044,NA,1.410216114,NA,0
malmsp,208,20.12277438,0.729503564,3.039452607,0.471190459,3,1,0.565,0.075340443,0.35094,67.71695376,0.399312527,2.324028566,NA,0.870552326,NA,0
caseac,209,0.42281351,0.689971211,1.58931259,-0.25300332,3,1,0.66,0.084611954,0.006875,50.79793212,0.303225227,3.411537939,2.677499586,1.326946193,0.798049367,#N/A
olmeas,210,-27.97721444,0.475464913,-1.199225097,0.492809462,1,2,0.47,0.173349184,0.0341,40.81611802,0.295193913,2.260565483,2.183145296,1.439044283,1.325706169,1
ingaum,211,7.622782517,0.664721724,0.73126131,-0.322411858,2,5,0.724,0.095972229,0.458768333,56.74308833,0.429383638,3.112275159,NA,0.799956014,NA,0
rinosy,212,9.722851126,0.673176527,2.659921327,-1.419482381,3,1,0.671,0.058983641,NA,49.31819885,0.338283029,3.557575773,NA,1.280718465,NA,0
cappfr,213,11.62285529,0.632941284,4.165007585,-0.634081204,3,1,0.754,0.041348884,0.126085093,72.30838391,0.418362681,2.865384326,NA,1.172893338,NA,#N/A
stylst,214,1.822830626,0.569245822,1.903026561,-1.156965077,3,1,0.482,0.075380518,0.06746,97.63991908,0.305172044,1.30946254,NA,0.734758378,NA,0
ery2pa,215,9.622832829,0.703274947,1.652114184,-1.287767072,3,1,0.72,0.071454991,0.027892,45.81928523,0.351672214,2.37450221,2.421083311,1.061373346,NA,0
herrpu,216,14.22277867,0.307970769,2.466541874,-0.134421179,3,1,0.476,0.079087268,0.244513,36.97460103,0.335773456,2.231283611,NA,1.087052637,NA,0
laetth,217,-1.377228058,0.726633857,0.204802128,-0.782672442,2,4,0.66,0.108546539,0.01273875,65.04015203,0.325295093,2.47815471,NA,0.86368985,NA,0
ery2ma,218,-9.877154111,0.643069929,0.230544131,-1.67182837,2,4,0.71,0.09621095,NA,90.38547988,0.375231046,1.94761099,NA,0.678204667,0.793294624,0
bactc1,219,NA,NA,NA,NA,NA,NA,NA,0.010631718,0.4023925,NA,NA,NA,NA,NA,NA,#N/A
alibed,220,9.822809083,0.788040125,2.063166177,-1.639176124,3,1,0.76,0.08079427,0.01922,60.38129099,0.35936119,2.07668166,NA,0.868502027,NA,#N/A
psycg3,221,NA,0.502394858,-0.832180116,-1.861848913,1,4,0.295,0.136022982,0.015468,56.25483879,0.206802511,1.870599843,NA,0.806847299,NA,0
chr1ec,222,12.72283144,0.506946157,2.405889438,-0.641675811,3,1,0.43,0.055415756,0.149514,87.94111036,0.265067851,1.294143677,NA,0.513406312,NA,0
cestme,223,-38.27719135,0.424325287,-1.657911544,-2.10232921,1,4,0.736,0.114499465,0.0189775,51.51719488,0.260776514,2.096497889,NA,1.109358868,NA,0
coccma,224,9.722809352,0.716341182,3.225622189,0.291170296,3,1,0.672,0.068159389,0.028504,66.26616809,0.402757531,1.833167392,NA,0.676612136,NA,1
bactba,225,NA,NA,NA,NA,NA,NA,NA,0.024965247,NA,NA,NA,NA,NA,NA,NA,#N/A
heisac,226,NA,0.682125856,1.023013266,0.826109661,3,1,0.696,0.074574634,0.046568889,71.10893153,0.372530652,1.431272372,NA,0.728669719,NA,0
pipeco,227,NA,0.373149562,1.51425421,-4.653048724,3,4,0.383,0.048643438,0.002175,71.02719712,0.207239817,2.302774429,NA,0.883227625,NA,0
vismba,228,NA,0.531295827,-1.176801699,-0.124565548,1,2,0.43,0.160942039,NA,59.00202293,0.268798749,1.792079693,1.515282567,0.994435567,0.9784959,0
sennda,229,NA,0.494765154,-2.902250609,-1.144612065,1,2,0.631,0.211809523,NA,51.58462576,0.29362522,3.058651231,NA,1.280554559,NA,0
pipeae,230,NA,0.436323164,-0.223944747,-1.831558328,2,4,0.383,0.080155218,NA,52.25893459,0.255296612,2.361410015,NA,0.772651355,NA,0
quasam,231,15.02281132,0.526503508,1.914504728,0.106194896,3,1,0.47,0.062128122,0.33077,53.33595565,0.346333783,2.148268461,NA,1.100622178,NA,0
conoci,232,NA,0.606171815,-0.790499958,-2.512635103,1,4,0.671,0.114657588,NA,38.99752753,0.267091353,1.945256088,NA,NA,NA,0
nectpu,233,NA,0.51347036,-0.325149773,1.211876217,2,3,0.559,0.147103898,0.337395,86.57376189,0.448249589,1.85542996,1.896193534,0.718336554,0.744576931,0
pipea1,234,NA,0.358594647,-0.83222904,-0.800131828,1,2,0.383,0.112933987,NA,40.71139582,0.192286242,2.812915683,NA,0.997508708,NA,0
socrex,235,NA,NA,NA,NA,NA,NA,NA,0.089743366,5.2349,NA,NA,NA,NA,NA,NA,0
aphesi,236,NA,0.566005737,-0.749558524,-0.202721306,2,5,0.652,0.119002425,NA,31.69251517,0.205231605,2.741263016,NA,1.030738682,NA,0
pipecu,237,NA,0.342316821,-1.652930125,-0.93002074,1,2,0.383,0.171040832,NA,39.55945156,0.228600258,2.896196365,NA,0.636589729,NA,0
thevah,238,NA,0.45702219,-0.485686155,0.130395391,2,5,0.606,0.105543075,0.368683,39.99650358,0.174318725,2.034025545,1.36837501,1.267989777,0.942718861,0
geonin,239,NA,NA,NA,NA,NA,NA,NA,NaN,0.033825,NA,NA,NA,NA,NA,NA,0
hameax,240,NA,0.457071168,-0.443452389,-1.861238087,2,4,0.618,0.119979365,NA,34.2492695,0.183753738,2.85473716,NA,1.336134691,NA,0
